id,question,related_triples,retrieved_chunks
1,毛湾矿区的经纬度范围是多少？,毛湾矿区-范围-东经112°58′00″～112°59′15″; 毛湾矿区-范围-北纬26°53′00″～26°54′30″,表1-1毛湾矿区拐点坐标（2000国家大地坐标系）地理坐标直角坐标拐点号经度纬度XY1112°58′04″26°54′30″2977892.338397467.12112°59′19″26°54′30″2977875.538399536.73112°59′19″26°53′00″2975105.238399514.64112°58′04″26°53′00″2975121.938397444.4面。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东侧岩体出露的长轴方向按110°方向布置了5条勘探线，不整合面接触部位，勘探线大致垂直不整合接触界线。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区估算矿体55个，初步估算（334）WO资源量12454t，详细情况见（表8-1）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。
2,毛湾矿区的面积有多大？,毛湾矿区-面积-5.7km²,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区估算矿体55个，初步估算（334）WO资源量12454t，详细情况见（表8-1）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。表1-1毛湾矿区拐点坐标（2000国家大地坐标系）地理坐标直角坐标拐点号经度纬度XY1112°58′04″26°54′30″2977892.338397467.12112°59′19″26°54′30″2977875.538399536.73112°59′19″26°53′00″2975105.238399514.64112°58′04″26°53′00″2975121.938397444.4面
3,毛湾矿区距离衡阳市多远？,毛湾矿区-距离-衡阳市约50km,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 339.3外部建设条件9.3.1、交通、运输条件矿区交通较为方便，矿区距衡阳市区约50km，距京珠高速洪市出口约30km，西侧有公路穿越毛湾矿区。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区估算矿体55个，初步估算（334）WO资源量12454t，详细情况见（表8-1）。
4,矿区出露的主要岩浆岩单元是什么？,毛湾矿区-出露的岩浆岩-中侏罗世岩前单元; 中侏罗世岩前单元-形式-小岩株,"工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 但总的来说，区内地质体的地球物理特征可归纳如下：图3-3毛湾矿区15号剖面反演电阻率断面图图3-4毛湾矿区15号剖面地质推断解释断面图26（1）中侏罗世岩前单元中细粒二云母花岗岩（Jy）的电阻率一般在1800Ω·m～24800Ω·m左右，在区内表现为高阻。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东侧岩体出露的长轴方向按110°方向布置了5条勘探线，不整合面接触部位，勘探线大致垂直不整合接触界线。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 图2-1湖南省大地构造略图9图2-2毛湾矿区区域地质图102.2区域地层区域内出露地层较齐全，有元古界青白口系、南华系、震旦系，古生界寒武系、泥盆系、石炭系、二叠系，中生界白垩系，新生界第三系、第四系。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 区内出露的岩浆岩为中侏罗世岩前单元（JY）,呈小岩株产出。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 工作区出露的岩浆233岩为中侏罗世岩前单元，岩体呈小岩株形式产出,岩浆侵位于高涧群板岩和泥盆系地层中，接触面呈波浪式起伏。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 说明工作区出露的中侏罗世岩前单元（JY）与后期脉体活动共同为成矿提供了矿质活化、迁移、聚2集所必需的热液、热动力等。"
5,中侏罗世岩前单元侵入了哪些地层？,中侏罗世岩前单元-侵位于-高涧群板岩和泥盆系地层,"工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 工作区出露的岩浆233岩为中侏罗世岩前单元，岩体呈小岩株形式产出,岩浆侵位于高涧群板岩和泥盆系地层中，接触面呈波浪式起伏。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 区内出露的岩浆岩为中侏罗世岩前单元（JY）,呈小岩株产出。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 说明工作区出露的中侏罗世岩前单元（JY）与后期脉体活动共同为成矿提供了矿质活化、迁移、聚2集所必需的热液、热动力等。"
6,毛湾矿区的主要褶皱构造是什么？,毛湾矿区-褶皱-毛湾背斜; 毛湾背斜-轴向-NNW向,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 矿区褶皱主要为毛湾背斜，轴向NNW向，背斜核部出露地层为新元古界高涧群架枧田组（Ptj）板岩，粉砂质板岩等组成褶皱基底地层，两翼为泥盆系沉积盖层；3基底与盖层呈角度不整合接触，且两侧地层产状东翼缓，西翼陡。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 工作区的褶皱为毛湾背斜，轴向NNW向。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 同时，毛湾矿区有着与之相隔不到10km的杨林坳矿区相似的成矿地质背景，杨林坳矿区已探明的资源量30余万吨，其矿化主要沿跳马涧组底部含钙砂岩层分布，这与我们在毛湾地段所测量的化探异常晕的分布和地表矿化显示与此十分类似，且有类似的成矿地质条件。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东侧岩体出露的长轴方向按110°方向布置了5条勘探线，不整合面接触部位，勘探线大致垂直不整合接触界线。
7,矿区断裂构造的主要方向有哪些？,断裂构造-方向-NE向、NW向,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 2、NW向断裂20这组断裂产于跳马涧组（Dt）与青白口系高涧群架枧田组（Ptj）不整合面附23近，构造形态与不整合面形态基本一致。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: ③盖层构造泥盆系及以上地层发育以NNE、NE向断裂为主，次为近SN向及NW向断裂，少量近EW向断裂。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 工作区的断裂构造主要以NE向、NW向断裂为主，是区内最主要的导矿断裂和储（赋）矿断裂。
8,毛湾矿区包含哪三种钨矿床类型？,毛湾矿区-包含矿床类型-岩体型; 毛湾矿区-包含矿床类型-石英脉型; 毛湾矿区-包含矿床类型-不整合面型钨矿,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 2013年5月至2014年12月我队承担了省厅科研项目《湖南省衡南县毛湾矿区钨矿化类型及成矿规律研究》，项目开展对矿体岩体型钨矿研究，总结岩体型钨矿地质特征及成矿规律，建立成矿模式及找矿标志，并在指导找矿过程中取得重大地质勘查成果。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 通过工作大致查明了毛湾矿区地层、岩浆岩、构造、围岩蚀变等基本特征，大致了解了主要钨矿脉的品位、厚度、产状等特征。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 同时，毛湾矿区有着与之相隔不到10km的杨林坳矿区相似的成矿地质背景，杨林坳矿区已探明的资源量30余万吨，其矿化主要沿跳马涧组底部含钙砂岩层分布，这与我们在毛湾地段所测量的化探异常晕的分布和地表矿化显示与此十分类似，且有类似的成矿地质条件。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区共发现含钨石英脉17条，并且在构造发育、成矿条件较好地段进行了土壤地球化学测量，圈定了W、Sｎ、Bi、Mｏ综合异常区。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: (2)石英脉型钨矿富集规律石英脉型钨矿矿体呈脉状赋存于毛湾隆起顶部和边部的破碎带中及其附近的云英岩化带中，主要分布在岩体型钨矿化的上部。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 3、毛湾矿区不整合面部位，地表多个山地工程及浅深部3个钻孔均见钨矿化，且地球化学异常自西北向南东沿着不整合接触界线分布，是今后勘查工作的方向之一。
9,岩体型盲矿体的数量有多少？,岩体型盲矿体-数量-10个,.16912.32100460似层状650-30.1663.5060100似层状750-40.1241.6570160似层状852-10.1385.65100380似层状952-20.2301.20100180似层状1052-30.1401.00100145似层状矿体规模较大，单条矿体沿走向延长一般在50-60m，最长可达100m；平均厚度8～13m；规模小的矿体走向长仅数十米，厚度1～5.60m。在50-60m，最长可达100m；平均厚度8～13m；规模小的矿体走向长仅数十米，厚度1～5.60m。。表4-1岩体型钨矿主要矿体特征表矿体矿（脉）体平均品位平均厚度控制长度控制宽度序号备注形态编号（%）（m）（m）（m）1480.1281.1010040似层状2490.16411.41100245似层状3500.18718.50100400似层状4510.16120.45100470似层状5520.16912.32100460似层状650-30.1663.5060100似层状750-40.124
10,岩体型矿体的长度范围是多少？,岩体型盲矿体-长度-50-100m,在50-60m，最长可达100m；平均厚度8～13m；规模小的矿体走向长仅数十米，厚度1～5.60m。。.16912.32100460似层状650-30.1663.5060100似层状750-40.1241.6570160似层状852-10.1385.65100380似层状952-20.2301.20100180似层状1052-30.1401.00100145似层状矿体规模较大，单条矿体沿走向延长一般在50-60m，最长可达100m；平均厚度8～13m；规模小的矿体走向长仅数十米，厚度1～5.60m。中侏罗世岩前单元5-砂质粘土6-板岩7-灰岩8-二云母花岗岩9-白云母花岗岩10-石英脉11-矿体12-低品位矿体13-钻孔及编号50号矿体：为蚀变岩体型钨矿体，为盲矿体，有5个钻孔（ZK1501、ZK1502、ZK1503、ZK1504、ZK1505）控制，控制长100m，倾向约290°，倾角0°～10°，WO矿体品位0.137～.528%，WO平均品位0.190%，矿体厚度2.05～17.0
11,石英脉型钨矿体的数量是多少？,石英脉型钨矿体-数量-40个,911.990.0911.99/脉状4.2矿石质量4.2.1矿石矿物成分总体说来，本区矿石的矿物组成比较简单，岩体型钨矿、不整合面型钨矿的矿石矿物以白钨矿为主，石英脉型钨矿的矿石矿物以黑钨矿为主。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 4.1.2石英脉型钨矿石英脉型钨矿主要分布矿区的东部，本次共圈定石英脉型钨矿体40个，其中盲矿体30个，矿体形态复杂，厚度、品位变化大，因石英脉是最重要的含矿构造，矿体形态常继承石英脉形态和脉旁蚀变带的形态，总体产状与石英脉产状相同，走向NE，倾角多在40～60°之间，以②号矿体见矿最好，矿体特征见（表4-4）。。②号矿体：为石英大脉型钨矿体，矿体地表有两个探槽（TC0701、TC0301）控制，深部有一个民窿（ML2）和两个钻孔（ZK0303、ZK0702）控制，矿体控制长200m，倾向约99°，倾角47°～56°，WO矿体品位0.142～3.560%，WO平均品位0.799%，33矿体厚度0.11～1.40，平均厚度为0.63m。
12,不整合面型钨矿体的平均厚度范围？,不整合面型钨矿体-平均厚度-0.50～2.99m,表4-5不整合面型钨矿矿体特征表序矿（脉）揭露品位厚度平均品位平均厚度控制长矿体备注号体编号工程号（%）（m）（%）（m）度（m）形态1102TC08010.1201.520.1201.52/脉状2103TC08010.2112.990.2112.99/脉状3104ZK40010.1551.300.1551.30/脉状4105TC04010.0690.500..50/脉状5TC04010.156。.27～3.4m，WO3平均品位0.126%-3.260%，不整合面型钨矿体4个，矿体长小于100m，平均厚度0.50～2.99m，WO平均品位0.120%-0.366%，初步估算54个主要矿体（334）WO33资源量12454t。。表4-1岩体型钨矿主要矿体特征表矿体矿（脉）体平均品位平均厚度控制长度控制宽度序号备注形态编号（%）（m）（m）（m）1480.1281.1010040似层状2490.16411.41100245似层状3500.18718.50100400似层状4510.16120.45100470似层状5520.16912.32100460似层状650-30.1663.5060100似层状750-40.124
13,矿区距离最近的高速公路出口有多远？,毛湾矿区-距离-京珠高速洪市出口约30km,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 339.3外部建设条件9.3.1、交通、运输条件矿区交通较为方便，矿区距衡阳市区约50km，距京珠高速洪市出口约30km，西侧有公路穿越毛湾矿区。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区估算矿体55个，初步估算（334）WO资源量12454t，详细情况见（表8-1）。
14,毛湾矿区属于什么气候类型？,毛湾矿区-属-亚热带气候,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区估算矿体55个，初步估算（334）WO资源量12454t，详细情况见（表8-1）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 同时，毛湾矿区有着与之相隔不到10km的杨林坳矿区相似的成矿地质背景，杨林坳矿区已探明的资源量30余万吨，其矿化主要沿跳马涧组底部含钙砂岩层分布，这与我们在毛湾地段所测量的化探异常晕的分布和地表矿化显示与此十分类似，且有类似的成矿地质条件。
15,矿区年平均气温是多少？,毛湾矿区-年平均气温-19°左右,"工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区估算矿体55个，初步估算（334）WO资源量12454t，详细情况见（表8-1）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区本年度共施工钻孔4个，4个钻孔均见工业矿体，其中以毛湾矿区的ZK1503见矿最好，单矿层最大连续厚达39.02m,WO平均品位为0.128%，WO最高品33位为1.460%，并且在孔内见到7层工业矿体，单孔见矿累计厚度93.21m。"
16,毛湾背斜的核部地层是什么？,毛湾背斜-核部地层-青白口系高涧群架枧田组,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 2333.1.1高涧群架枧田组（Ptj）3主要分布于矿区中东部，毛湾隆起的核部，呈北西向展布。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 矿区褶皱主要为毛湾背斜，轴向NNW向，背斜核部出露地层为新元古界高涧群架枧田组（Ptj）板岩，粉砂质板岩等组成褶皱基底地层，两翼为泥盆系沉积盖层；3基底与盖层呈角度不整合接触，且两侧地层产状东翼缓，西翼陡。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: ③毛湾背斜：轴向NNW，核部为高涧群，东翼被毛湾断层切断，在楼屋附近棋梓桥组与高涧群呈断层接触。
17,毛湾矿区出露哪些古生代地层？,毛湾矿区-出露的地层-跳马涧组; 毛湾矿区-出露的地层-棋梓桥组; 毛湾矿区-出露的地层-佘田桥组; 毛湾矿区-出露的地层-锡矿山组,"工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 同时，毛湾矿区有着与之相隔不到10km的杨林坳矿区相似的成矿地质背景，杨林坳矿区已探明的资源量30余万吨，其矿化主要沿跳马涧组底部含钙砂岩层分布，这与我们在毛湾地段所测量的化探异常晕的分布和地表矿化显示与此十分类似，且有类似的成矿地质条件。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 图4-1毛湾矿区15号勘探线剖面图1-第四系2-高涧群架枧田组3-棋梓桥组4-。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 图2-1湖南省大地构造略图9图2-2毛湾矿区区域地质图102.2区域地层区域内出露地层较齐全，有元古界青白口系、南华系、震旦系，古生界寒武系、泥盆系、石炭系、二叠系，中生界白垩系，新生界第三系、第四系。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。.1地层矿区出露的地层主要有高涧群架枧田组（Ptj）,泥盆系跳马涧组（Dt）、棋32梓桥组（Dq）、佘田桥组（Ds）、锡矿山组（Dx）及第四系（Q）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 通过工作大致查明了毛湾矿区地层、岩浆岩、构造、围岩蚀变等基本特征，大致了解了主要钨矿脉的品位、厚度、产状等特征。"
18,控矿地层主要包括哪些？,控矿地层-包括-青白口系高涧群架枧田组; 控矿地层-包括-跳马涧组,".1地层矿区出露的地层主要有高涧群架枧田组（Ptj）,泥盆系跳马涧组（Dt）、棋32梓桥组（Dq）、佘田桥组（Ds）、锡矿山组（Dx）及第四系（Q）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 2.2.1元古界（1）青白口系高涧群架枧田组（Ptj）多出露于隆起带或背斜核部，岩性主3要为灰绿色、暗灰色薄层条带状绢云母板岩、绿泥石绢云母板岩、含凝灰质砂岩。高涧群中的Au、W、Sn、As、Sb等元素丰度普遍较高，其物质来源与接受古老基底陆源物质和接受中-基性海底火山喷出物质沉积有关。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: （2）不整合界面控矿作用在高涧群架枧田组与泥盆系地层之间，有一明显的不整合接触面。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 矿体受不整合面控制，矿化富集在泥盆系跳马涧组底部不整合面上下数十米范围内，且矿体主要分布于不整合面上部。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 3.1.2泥盆系跳马涧组（Dt）2分布在矿区中部和北部，与下伏高枧群架枧田组（Ptj）呈不整合接触，按岩3性可划分为下、中、上三段：下段：底部为巨厚层状石英砾岩，灰白色，砾状结构，砾石成分以石英砾为主，砾径一般2～3㎝，大者可达15㎝。"
